Time,Cabin1,Cabin2,Cabin3,Cabin4,Cabin5,Cabin6,Cabin7,Cabin8,Cabin9,Cabin10
5:00:00,34,46,44,36,39,47,35,41,44,35
5:30:00,36,45,33,41,31,42,46,30,48,39
6:00:00,52,57,60,21,67,41,54,40,38,36
6:30:00,64,34,64,51,34,53,60,37,67,51
7:00:00,29,68,63,61,75,62,68,46,35,37
7:30:00,59,51,69,66,65,65,54,44,67,45
8:00:00,51,75,70,64,52,63,55,63,65,73
8:30:00,50,57,67,66,64,58,63,54,59,50
9:00:00,53,49,62,55,59,40,63,59,40,72
9:30:00,48,51,62,56,73,55,83,58,52,60
10:00:00,69,74,62,64,77,61,61,72,58,63
10:30:00,50,78,58,55,70,49,50,55,48,58
11:00:00,63,44,37,68,71,59,69,55,47,76
11:30:00,64,71,69,21,46,38,46,114,90,23
12:00:00,52,29,41,72,68,41,34,36,75,75
12:30:00,52,51,76,74,104,24,75,54,52,42
13:00:00,45,24,55,61,47,37,45,62,50,84
13:30:00,91,40,38,81,63,68,18,51,48,91
14:00:00,40,52,78,43,47,20,69,28,94,40
14:30:00,52,42,84,52,81,67,46,35,25,64
15:00:00,97,6,45,69,23,45,97,130,51,24
15:30:00,43,44,81,60,32,45,36,100,24,122
16:00:00,60,43,-20,116,89,42,50,64,41,28
16:30:00,7,70,87,60,74,102,57,96,66,24
17:00:00,100,46,42,58,59,44,42,78,57,62
17:30:00,80,65,28,83,86,40,93,80,86,51
18:00:00,31,88,64,37,61,56,99,60,73,50
18:30:00,68,59,51,34,95,50,92,67,59,67
19:00:00,95,68,19,54,52,47,33,73,80,55
19:30:00,40,68,66,51,70,80,95,85,25,63
20:00:00,44,59,103,42,61,68,56,54,85,65
20:30:00,76,69,75,99,57,76,69,39,61,46
21:00:00,47,43,86,70,32,100,70,57,41,58
21:30:00,107,94,59,74,43,72,50,60,89,71
22:00:00,62,83,98,113,58,77,35,70,75,58
22:30:00,57,45,53,32,36,47,90,47,50,58
23:00:00,75,66,73,61,72,68,42,80,66,55
23:30:00,85,52,51,57,39,80,71,63,54,63
0:00:00,56,30,44,75,80,62,48,86,62,37
0:30:00,49,77,48,45,60,52,35,50,51,57
1:00:00,40,37,57,60,50,93,82,73,55,42
1:30:00,87,48,51,49,85,86,75,73,116,67
2:00:00,66,45,48,47,84,72,53,107,47,61
2:30:00,84,27,84,64,94,55,26,57,82,45
3:00:00,38,84,32,72,60,51,94,29,75,63
3:30:00,73,56,72,55,53,85,30,45,42,69
4:00:00,59,63,67,78,65,10,65,69,37,50
4:30:00,77,45,65,84,61,71,62,46,86,59
5:00:00,44,20,63,65,51,86,54,42,45,72
5:30:00,128,90,51,75,16,105,89,59,52,36
